periodo,0a1_bienes_y_servicios,0a1_cuidado,0a1_total,1a3_bienes_y_servicios,1a3_cuidado,1a3_total,4a5_bienes_y_servicios,4a5_cuidado,4a5_total,6a12_bienes_y_servicios,6a12_cuidado,6a12_total,var_im_0a1_bienes_y_servicios,var_im_0a1_cuidado,var_im_0a1_total,var_im_1a3_bienes_y_servicios,var_im_1a3_cuidado,var_im_1a3_total,var_im_4a5_bienes_y_servicios,var_im_4a5_cuidado,var_im_4a5_total,var_im_6a12_bienes_y_servicios,var_im_6a12_cuidado,var_im_6a12_total,var_ia_0a1_bienes_y_servicios,var_ia_0a1_cuidado,var_ia_0a1_total,var_ia_1a3_bienes_y_servicios,var_ia_1a3_cuidado,var_ia_1a3_total,var_ia_4a5_bienes_y_servicios,var_ia_4a5_cuidado,var_ia_4a5_total,var_ia_6a12_bienes_y_servicios,var_ia_6a12_cuidado,var_ia_6a12_total
2021-04-01,7131.11,18458.85,25589.96,9207.93,21095.83,30303.77,11727.41,13184.89,24912.3,14547.9,16758.0,31305.9,0.034233154993350334,0.08475802394843601,0.07018841033070089,0.0342316660601405,0.08475793803830833,0.06889116514395077,0.03423245296862931,0.08475829886101471,0.06037221544978455,0.03423271249085569,0.08719346049046317,0.06192357829972961,0.4780850481701957,0.32744288799380383,0.3662457228006424,0.47808617847287893,0.3274429778858401,0.3698650014555829,0.4780853496072064,0.3274426003392885,0.3943394262187727,0.47808611526265476,0.33000000000000007,0.39494501254099945
2021-05-01,7299.59,18458.85,25758.45,9425.48,21095.83,30521.32,12004.49,13184.89,25189.38,14891.61,16758.0,31649.61,0.023626055410728597,0.0,0.006584222874908896,0.023626374223087998,0.0,0.007178974761226087,0.023626700183587035,0.0,0.011122216736310975,0.023626090363557672,0.0,0.010979080620585835,0.49592491264742367,0.2800227727880438,0.334608437761329,0.49592510121778743,0.28002230470188705,0.339734988001287,0.4959257500819336,0.2800217853079261,0.3745677426466456,0.4959240727328251,0.28295819935691324,0.3750662016727788
2021-06-01,7531.04,20858.54,28389.58,9724.33,23838.33,33562.67,12385.1,14898.95,27284.06,15363.77,18942.0,34305.77,0.03170726027078241,0.13000213989495557,0.10214628597605846,0.0317066080454258,0.13000199565506554,0.09964673873869145,0.03170563680756122,0.13000184301878903,0.08315726707048765,0.0317064440983883,0.13032581453634084,0.08392394092691813,0.5176296809790484,0.44642847236476424,0.4646563243237667,0.5176267520237718,0.4464277587961285,0.4663602817494612,0.5176274962228107,0.4464269765021571,0.4779016702462173,0.5176282209582812,0.45016077170418,0.4796191936870997
2021-07-01,7654.31,20858.54,28512.85,9883.51,23838.33,33721.84,12587.83,14898.95,27486.79,15615.26,18942.0,34557.26,0.016368257239371964,0.0,0.004342086075243001,0.01636925114635157,0.0,0.004742471323050168,0.01636886258488013,0.0,0.00743034577698487,0.016369029216136477,0.0,0.007330836765943705,0.517850981387546,0.44642847236476424,0.46493272823769916,0.5178522339672365,0.4464277587961285,0.4666554165430745,0.5178513937338949,0.4464269765021571,0.478284323031821,0.517852820787482,0.45016077170418,0.4799854216729702
2021-08-01,7742.93,20858.54,28601.47,9997.93,23838.33,33836.27,12733.57,14898.95,27632.53,15796.04,18942.0,34738.04,0.011577790813280364,0.0,0.003108072325284983,0.01157685882849302,0.0,0.0033933498290721342,0.011577849398982876,0.0,0.005302183339706001,0.011577136723948334,0.0,0.005231317529225343,0.5031342272368133,0.44642847236476424,0.4613522842930078,0.5031339314038119,0.4464277587961285,0.4627333649775074,0.5031352772996951,0.4464269765021571,0.47201875573331553,0.5031350125086478,0.45016077170418,0.47377870774473263
2021-09-01,7989.11,23073.75,31062.86,10315.81,26370.0,36685.81,13138.43,16481.25,29619.68,16298.27,20958.0,37256.27,0.03179416577445471,0.10620158457878648,0.08605816414331158,0.031794581478366,0.10620165087067757,0.08421554739928494,0.03179469700955817,0.10620211491413811,0.07191342957014801,0.031794677653386616,0.10643015521064303,0.07249200012435919,0.49382769143318717,0.6000414681097754,0.571306517691252,0.4938260520763491,0.6000407746454515,0.5686773457804217,0.4938267113124848,0.6000405804755486,0.5511202277793867,0.49382608552191387,0.6045016077170418,0.5541305383436466
2021-10-01,8196.71,23073.75,31270.46,10583.87,26370.0,36953.87,13479.83,16481.25,29961.08,16721.79,20958.0,37679.79,0.02598537258843603,0.0,0.006683222343338624,0.025985356457709274,0.0,0.007306912400189658,0.025984839893351097,0.0,0.011526120471254231,0.025985580064632696,0.0,0.011367750985270542,0.44987007841285154,0.6000414681097754,0.557748426582658,0.4498690389431059,0.6000407746454515,0.5539430908496847,0.4498696929313657,0.6000405804755486,0.5287989104893971,0.44987037534790586,0.6045016077170418,0.5319914780466188
2021-11-01,8372.56,24181.35,32553.92,10810.94,27635.83,38446.77,13769.03,17272.39,31041.43,17080.54,21966.0,39046.54,0.021453729606147,0.04800260035754911,0.041043847771986774,0.021454345149741982,0.048002654531664746,0.04039901639530563,0.021454276500519676,0.048002427000379155,0.0360584464912479,0.02145404289851749,0.04809619238476959,0.03627276054351691,0.42765600088668343,0.6768476192589552,0.6048050606153821,0.4276560876116373,0.6768469791873346,0.5983963141917088,0.4276576573774249,0.6768464116374706,0.5563499058912951,0.4276577374011934,0.6816720257234727,0.5602370811511055
2021-12-01,8624.96,25473.43,34098.4,11136.84,29112.5,40249.34,14184.11,18195.31,32379.42,17595.44,23142.0,40737.44,0.030146096295517788,0.05343291420867735,0.04744374870983292,0.03014538976259229,0.05343316991022151,0.04688482283427198,0.030145914418081787,0.05343325388090481,0.04310336218402311,0.030145416948176074,0.053537284894837445,0.04330473327470252,0.40471432456950374,0.6058373500127969,0.549713834867289,0.4047140646225684,0.6058383289683582,0.5446444093509124,0.40471502847239416,0.6058388169507323,0.5110636762812419,0.40471563901586927,0.6064139941690962,0.5126047175142712
2022-01-01,8905.68,25473.43,34379.12,11499.32,29112.5,40611.82,14645.76,18195.31,32841.07,18168.12,23142.0,41310.12,0.032547397321263105,0.0,0.008232644346948925,0.03254783223966573,0.0,0.009005861959475725,0.032546983913689376,0.0,0.014257512951127538,0.03254706901333537,0.0,0.014057829848905579,0.3925982914803887,0.6058373500127969,0.5445715546254544,0.39259772375524693,0.6058383289683582,0.5391065623410654,0.3925981709369526,0.6058388169507323,0.5031895966557409,0.39259754365444066,0.6064139941690962,0.5048012527953125
