periodo,IS_sector_privado_registrado,IS_sector_publico,IS_total_registrado,IS_sector_no_registrado,IS_indice_total,var_im_IS_sector_privado_registrado,var_im_IS_sector_publico,var_im_IS_total_registrado,var_im_IS_sector_no_registrado,var_im_IS_indice_total,var_ia_IS_sector_privado_registrado,var_ia_IS_sector_publico,var_ia_IS_total_registrado,var_ia_IS_sector_no_registrado,var_ia_IS_indice_total
2018-07-01,149.94,143.01,147.36,145.09,146.9,0.023690858196217635,0.029071022522846546,0.025683858843182472,0.028861154446177872,0.026267989381025814,0.2210097719869708,0.2069372942864376,0.21594190939846536,0.20167301639887358,0.21304706853839805
2018-08-01,154.2,147.26,151.61,148.81,151.05,0.028411364545818163,0.02971820152436888,0.02884093376764385,0.0256392583913434,0.02825051055139549,0.2380570052187876,0.21161757446108265,0.228307542736774,0.18046961764239255,0.218636546994756
2018-09-01,157.82,152.41,155.8,154.02,155.44,0.023476005188067584,0.034972158087736016,0.027636699426159206,0.03501108796451846,0.029063224097980678,0.2525396825396824,0.2302042134151263,0.24430955993930215,0.20610806577917007,0.23649669875109391
2018-10-01,163.86,159.53,162.24,156.63,161.12,0.03827144848561659,0.046716094744439385,0.04133504492939655,0.01694585118815728,0.036541430777148776,0.27786009514154264,0.26580972784257706,0.273469387755102,0.2189105058365759,0.2624980410593951
2018-11-01,168.06,162.69,166.05,164.93,165.83,0.025631636763090437,0.019808186547984663,0.023483727810651,0.05299112558258323,0.02923286991062568,0.29237157797600744,0.277803958529689,0.2869100209253663,0.24994316028798802,0.27945374585294336
2018-12-01,170.85,166.66,169.29,172.61,169.94,0.016601213852195595,0.02440223738398184,0.019512195121951015,0.04656520948281084,0.024784417777241607,0.304098923746279,0.3026418633734562,0.3036346835053132,0.27190332326283984,0.29695489582538337
2019-01-01,176.91,170.98,174.7,177.16,175.19,0.03546971027216861,0.02592103684147351,0.03195699686927744,0.026360002317362685,0.030893256443450534,0.32765478424015004,0.3311015959517323,0.32892134489578573,0.2972102218642454,0.3223882850241546
2019-02-01,181.76,175.37,179.37,181.72,179.84,0.027415069809507697,0.025675517604398346,0.026731539782484326,0.02573944456988042,0.026542610879616513,0.3532871714689896,0.3560934116919272,0.35434913923286016,0.3150010854620451,0.3462085485440527
2019-03-01,188.26,184.99,187.04,186.59,186.94,0.03576144366197176,0.05485544848035584,0.04276077381947929,0.026799471714725964,0.03947953736654797,0.3819276224032886,0.3912160637737836,0.38537886082512407,0.32615493958777564,0.3731452916115765
2019-04-01,193.47,188.65,191.67,188.85,191.11,0.02767449272283007,0.019784853235309985,0.02475406330196739,0.012112117476820838,0.022306622445704694,0.37203035245727256,0.397303903414562,0.3812063126035885,0.3114583333333334,0.3669265431657249
