periodo,linea_de_indigencia,inversa_coef_engel,linea_de_pobreza,var_im_linea_de_indigencia,var_im_inversa_coef_engel,var_im_linea_de_pobreza,var_ia_linea_de_indigencia,var_ia_inversa_coef_engel,var_ia_linea_de_pobreza
2017-10-01,2079.23,2.44,5073.32,0.014560430176784322,0.0,0.014560514827487436,0.19541320270907359,0.012448132780082943,0.21029340547400754
2017-11-01,2125.84,2.44,5187.05,0.022416952429505255,0.0,0.0224172731071568,0.2060477122514397,0.012448132780082943,0.22105984241959153
2017-12-01,2150.29,2.51,5397.23,0.011501335942498025,0.0286885245901638,0.04052014150625105,0.21717743487563834,0.04149377593360981,0.26768446641847987
2018-01-01,2197.26,2.5,5493.15,0.021843565286542965,-0.003984063745019806,0.017772079381460415,0.22810273034681283,0.03734439834024883,0.27396593109686074
2018-02-01,2261.23,2.51,5675.69,0.029113532308420398,0.0040000000000000036,0.03323047795891254,0.24173814675291871,0.03292181069958833,0.28261861932439625
2018-03-01,2294.56,2.52,5782.29,0.014739765525842108,0.003984063745019917,0.018781857360074428,0.22274800699151642,0.03703703703703698,0.2680349295181621
2018-04-01,2308.11,2.56,5908.76,0.005905271598912298,0.015873015873015817,0.021871957304113065,0.20498363325972213,0.04489795918367334,0.25908500074580765
2018-05-01,2418.65,2.52,6095.0,0.047891998214989684,-0.015625,0.031519303542536736,0.24850302492205412,0.02857142857142847,0.28417442017259975
2018-06-01,2537.45,2.5,6343.62,0.0491183098009218,-0.007936507936507908,0.04079081214109914,0.29698633217816206,0.020408163265306145,0.32345412175088617
2018-07-01,2627.37,2.48,6515.88,0.035437151470965045,-0.008000000000000007,0.027154842187899098,0.3238521847791034,0.012244897959183598,0.34006256208392216
2018-08-01,2701.48,2.5,6753.7,0.028206914138473094,0.008064516129032251,0.036498523606941724,0.33605673646623613,0.024590163934426146,0.36891092359986444
2018-09-01,2931.88,2.49,7300.38,0.0852865836504435,-0.0039999999999998925,0.08094525963545918,0.4306110598763535,0.020491803278688714,0.45992708743708133
2018-10-01,3150.62,2.49,7845.04,0.07460741913038715,0.0,0.07460707524813781,0.5152820996234182,0.020491803278688714,0.5463325790606546
2018-11-01,3276.02,2.49,8157.29,0.03980168982612953,0.0,0.03980221898167513,0.5410473036540848,0.020491803278688714,0.5726260591280208
2018-12-01,3300.17,2.5,8250.42,0.007371749867217003,0.00401606425702794,0.0114167817988573,0.5347557771277363,-0.003984063745019806,0.5286396911008056
2019-01-01,3423.03,2.5,8557.58,0.03722838520439864,0.0,0.03722961982541495,0.5578629747958821,0.0,0.5578638850204347
2019-02-01,3597.77,2.48,8922.47,0.051048340213202925,-0.008000000000000007,0.04263939104279468,0.5910676932465959,-0.01195219123505964,0.5720502705397934
2019-03-01,3767.01,2.47,9304.51,0.047040249932597256,-0.004032258064516014,0.04281773993075921,0.6417134439718291,-0.01984126984126977,0.6091392856463442
2019-04-01,3833.28,2.49,9544.87,0.017592201772758775,0.00809716599190291,0.025832633851755826,0.6607873974810559,-0.02734374999999989,0.6153761533722812
2019-05-01,3911.58,2.51,9818.07,0.020426371149511624,0.008032128514056103,0.028622705180898045,0.6172575610361151,-0.003968253968254065,0.6108400328137817
2019-06-01,4016.09,2.51,10080.39,0.026718103681888206,0.0,0.026718082067045845,0.5827267532365172,0.0040000000000000036,0.5890595590530328
2019-07-01,4133.91,2.5,10334.77,0.029336991949881597,-0.003984063745019806,0.025235134751731003,0.573402299638041,0.008064516129032251,0.5860896762985199
2019-08-01,4290.72,2.49,10683.89,0.03793261101475376,-0.0039999999999998925,0.03378110978763904,0.5882849401069044,-0.0039999999999998925,0.5819313857589172
2019-09-01,4502.88,2.5,11257.2,0.04944624678375664,0.00401606425702794,0.053661166485240885,0.5358336630421436,0.00401606425702794,0.5420019231875601
2019-10-01,4596.2,2.51,11536.46,0.02072451408876086,0.0040000000000000036,0.02480723448104305,0.45882397750284065,0.008032128514056103,0.4705418965359003
2019-11-01,4886.34,2.49,12166.99,0.0631260606588051,-0.007968127490039723,0.054655414225854404,0.4915476706491413,0.0,0.49154805088454623
2019-12-01,5043.41,2.5,12608.52,0.03214471363024263,0.00401606425702794,0.03628917258911213,0.5282273337434131,0.0,0.5282276538648942
2020-01-01,5332.94,2.45,13065.7,0.05740758732682849,-0.019999999999999907,0.036259608582133396,0.5579588843802126,-0.019999999999999907,0.5267984640517531
2020-02-01,5432.32,2.43,13200.54,0.01863512434042014,-0.008163265306122436,0.010320151235678088,0.5099130850499058,-0.020161290322580627,0.4794714916385263
2020-03-01,5615.94,2.42,13590.57,0.03380139608859567,-0.004115226337448652,0.0295465185515138,0.4908216330723836,-0.020242914979757165,0.4606432794419051
2020-04-01,5791.79,2.38,13784.46,0.03131265647425008,-0.016528925619834767,0.014266509793187332,0.5109227606644962,-0.04417670682730934,0.44417472422358806
2020-05-01,5785.01,2.41,13941.87,-0.001170622553649192,0.0126050420168069,0.011419380955075553,0.4789445697135173,-0.03984063745019906,0.4200214502442945
2020-06-01,5834.66,2.43,14178.22,0.008582526218623654,0.008298755186721962,0.016952532192596736,0.4528210274172142,-0.03187250996015922,0.40651502570833076
2020-07-01,5929.29,2.43,14408.17,0.0162185971419071,0.0,0.01621853801111861,0.4343055364050017,-0.027999999999999914,0.39414520110268536
2020-08-01,6081.69,2.42,14717.69,0.025702908779971834,-0.004115226337448652,0.02148225624767064,0.4174054704105603,-0.028112449799196915,0.37755911002453235
2020-09-01,6288.17,2.43,15280.25,0.03395108925315182,0.004132231404958775,0.038223389675961394,0.396477365597129,-0.027999999999999914,0.3573757239810964
2020-10-01,6702.33,2.41,16152.62,0.06586335929213116,-0.008230452674897082,0.057091343400795136,0.4582328880379445,-0.03984063745019906,0.4001366103640114
2020-11-01,6981.61,2.4,16755.86,0.041669091196643526,-0.004149377593361092,0.037346263330654716,0.4288015160631473,-0.03614457831325313,0.37715737417389184
2020-12-01,7340.12,2.39,17542.89,0.051350619699467526,-0.004166666666666541,0.04697043303059334,0.4553883186177605,-0.04399999999999993,0.3913520381456348
2021-01-01,7677.09,2.38,18271.47,0.045907968807049615,-0.004184100418410108,0.04153135543801523,0.4395605425900162,-0.028571428571428692,0.39843024101272806
2021-02-01,7953.14,2.36,18769.41,0.03595763498929938,-0.008403361344537785,0.027252322883708713,0.46404114632422266,-0.02880658436214001,0.42186683272047953
2021-03-01,8312.33,2.37,19700.22,0.045163293994573195,0.004237288135593209,0.04959186250393599,0.48013155411204544,-0.02066115702479332,0.44955068109726093
2021-04-01,8633.31,2.36,20374.61,0.03861492505711395,-0.0042194092827004814,0.03423261263072175,0.4906117107146495,-0.008403361344537785,0.47808546725805745
2021-05-01,8874.89,2.35,20855.99,0.02798231501011772,-0.004237288135593098,0.02362646450656003,0.5341183507029372,-0.024896265560165998,0.49592486517231915
2021-06-01,9195.41,2.34,21517.26,0.03611537720467517,-0.004255319148936287,0.031706478570424856,0.5759975731233697,-0.0370370370370372,0.5176277417052351
2021-07-01,9386.04,2.33,21869.47,0.02073099513779164,-0.004273504273504147,0.016368719809120913,0.582995603183518,-0.04115226337448563,0.5178520242334732
2021-08-01,9454.13,2.34,22122.66,0.007254390563006252,0.0042918454935620964,0.011577326748201777,0.5545234959361625,-0.03305785123966942,0.5031339836618383
2021-09-01,9713.21,2.35,22826.04,0.02740389649814423,0.00427350427350448,0.03179454911841528,0.5446799307270636,-0.03292181069958855,0.49382634446425944
2021-10-01,10008.2,2.34,23419.19,0.030369980675801544,-0.004255319148936287,0.025985672503859636,0.493241902442882,-0.02904564315352709,0.44986943294648163
2021-11-01,10266.79,2.33,23921.62,0.02583781299334542,-0.004273504273504147,0.02145377359336509,0.47054762440182163,-0.029166666666666563,0.42765695106070334
2021-12-01,10667.86,2.31,24642.76,0.03906479045543931,-0.008583690987124526,0.03014595165377587,0.453363160275309,-0.03347280334728031,0.40471495859576145
2022-01-01,11111.27,2.29,25444.81,0.041565037411439576,-0.008658008658008698,0.03254708482329094,0.44732834967416046,-0.037815126050420145,0.3925978588477008
2022-02-01,12108.08,2.24,27122.1,0.08971161712387499,-0.02183406113537112,0.06591874728087954,0.5224276197828781,-0.05084745762711851,0.4450161193132869
2022-03-01,12900.45,2.25,29026.01,0.06544142423902066,0.004464285714285587,0.07019773542609165,0.5519655740327924,-0.05063291139240511,0.4733850687961858
2022-04-01,13762.77,2.24,30828.6,0.066844179854191,-0.004444444444444362,0.062102576275554267,0.59414755175014,-0.05084745762711851,0.5130890848953673
2022-05-01,14400.84,2.24,32257.88,0.046362033224416344,0.0,0.04636214424268381,0.6226499708728785,-0.04680851063829783,0.5466961769736176
2022-06-01,15056.75,2.24,33727.12,0.045546648667716516,0.0,0.04554670052712706,0.6374201911605899,-0.04273504273504258,0.5674449256085583
2022-07-01,16008.28,2.25,36018.63,0.06319624088863796,0.004464285714285587,0.06794265267831934,0.7055414210891919,-0.03433476394849788,0.6469822999825783
2022-08-01,17148.8,2.26,38756.29,0.07124563038627496,0.004444444444444251,0.07600677760370123,0.8138950913516105,-0.03418803418803418,0.7518820069557639
2022-09-01,18359.84,2.26,41493.24,0.07061951856689697,0.0,0.07061950460170463,0.8901928404718935,-0.0382978723404257,0.8178028251943832
2022-10-01,20098.92,2.25,45222.57,0.09472195836129282,-0.004424778761061843,0.08987801386442706,1.0082452389040983,-0.038461538461538436,0.9310048724998603
2022-11-01,20715.93,2.28,47232.32,0.030698664405848675,0.013333333333333197,0.04444130441945249,1.017761150271896,-0.02145922746781126,0.9744615958283762
2022-12-01,21743.48,2.27,49357.7,0.04960192470239089,-0.004385964912280604,0.04499842480742,1.0382232237768396,-0.017316017316017285,1.0029290550246808
2023-01-01,23315.04,2.27,52925.14,0.07227729875806466,0.0,0.07227727386000571,1.0983235939726064,-0.008733624454148492,1.0799974533116967
2023-02-01,26046.32,2.2,57301.9,0.11714670015577933,-0.03083700440528625,0.08269718322899111,1.1511519580313312,-0.017857142857142905,1.1127383204102927
2023-03-01,28388.12,2.18,61886.1,0.0899090543308998,-0.00909090909090915,0.08000083766855903,1.2005526938982745,-0.03111111111111109,1.132091183045827
2023-04-01,30468.76,2.16,65812.52,0.0732926308610784,-0.00917431192660556,0.06344591111735931,1.213853751824669,-0.0357142857142857,1.1347878268880196
2023-05-01,32055.87,2.2,70522.91,0.05208974700644209,0.0185185185185186,0.07157285574234207,1.2259722349529611,-0.017857142857142905,1.186222715193931
2023-06-01,33730.51,2.23,75219.04,0.05224128997278821,0.013636363636363447,0.06659013361757182,1.2402251481893503,-0.0044642857142858094,1.2302242231177756
2023-07-01,36130.15,2.23,80570.23,0.07114152735905854,0.0,0.07114142908497634,1.256966394890644,-0.008888888888888946,1.2369043464451592
2023-08-01,42262.25,2.18,92131.7,0.1697225170667711,-0.022421524663677084,0.14349555660943247,1.4644435762269081,-0.03539823008849541,1.3772063837895732
2023-09-01,47857.79,2.16,103372.83,0.13240042827819165,-0.00917431192660556,0.12201153348955907,1.606656158223601,-0.044247787610619316,1.4913173808552913
2023-10-01,51974.93,2.15,111746.1,0.0860286277322877,-0.004629629629629761,0.08100068460929255,1.5859563598442108,-0.04444444444444451,1.4710249771297828
2023-11-01,59886.86,2.11,126361.27,0.1522258904437197,-0.018604651162790753,0.130789083466895,1.8908603186050543,-0.07456140350877194,1.675313641167743
2023-12-01,77889.58,2.06,160452.53,0.30061218771530185,-0.023696682464454888,0.2697920019322375,2.5822039526331575,-0.09251101321585897,2.250810511835033
