periodo,nivel_general,productos_alimenticios_y_bebidas,productos_del_tabaco,productos_textiles,papel_y_carton,edicion_e_impresion,refinacion_del_petroleo,sustancias_y_productos_quimicos,productos_de_caucho_y_plastico,productos_minerales_no_metalicos,industrias_metalicas_basicas,industria_automotriz,metalmecanica_excluida_industria_automotriz,var_im_nivel_general,var_im_productos_alimenticios_y_bebidas,var_im_productos_del_tabaco,var_im_productos_textiles,var_im_papel_y_carton,var_im_edicion_e_impresion,var_im_refinacion_del_petroleo,var_im_sustancias_y_productos_quimicos,var_im_productos_de_caucho_y_plastico,var_im_productos_minerales_no_metalicos,var_im_industrias_metalicas_basicas,var_im_industria_automotriz,var_im_metalmecanica_excluida_industria_automotriz,var_ia_nivel_general,var_ia_productos_alimenticios_y_bebidas,var_ia_productos_del_tabaco,var_ia_productos_textiles,var_ia_papel_y_carton,var_ia_edicion_e_impresion,var_ia_refinacion_del_petroleo,var_ia_sustancias_y_productos_quimicos,var_ia_productos_de_caucho_y_plastico,var_ia_productos_minerales_no_metalicos,var_ia_industrias_metalicas_basicas,var_ia_industria_automotriz,var_ia_metalmecanica_excluida_industria_automotriz
2017-09-01,66.3,63.8,77.3,68.3,82.5,63.0,85.7,64.0,56.9,74.7,81.0,57.1,54.7,-0.014858841010401136,-0.03186646433990903,0.003896103896103842,-0.011577424023154759,-0.0625,0.16451016635859506,0.004689331770222793,0.027287319422151013,-0.053244592346089914,-0.03112840466926059,0.018867924528301883,0.0362976406533575,-0.10474631751227492,0.037558685446009266,-0.028919330289193357,-0.043316831683168355,-0.011577424023154759,0.027397260273972712,0.17757009345794383,0.05412054120541221,-0.06569343065693434,0.030797101449275388,0.05657708628005653,0.24042879019908114,0.1108949416342413,0.05394990366088637
2017-10-01,68.3,66.3,71.6,62.5,86.8,61.6,73.4,70.9,55.5,77.2,82.9,52.9,62.3,0.030165912518853588,0.03918495297805635,-0.07373868046571808,-0.08491947291361635,0.05212121212121201,-0.022222222222222254,-0.14352392065344222,0.10781250000000009,-0.024604569420035083,0.03346720214190091,0.023456790123456805,-0.0735551663747811,0.13893967093235826,0.04434250764525971,0.00913242009132409,0.2561403508771929,0.05932203389830515,0.009302325581395321,0.023255813953488413,-0.1313609467455621,0.008534850640113945,0.05113636363636376,0.09193776520509189,0.1387362637362639,0.1995464852607709,0.11849192100538586
2017-11-01,69.2,67.7,70.5,60.9,82.7,62.9,79.0,71.0,59.9,80.6,83.1,55.0,61.2,0.013177159590044063,0.021116138763197734,-0.015363128491620026,-0.025600000000000067,-0.047235023041474644,0.02110389610389607,0.07629427792915533,0.0014104372355430161,0.07927927927927936,0.04404145077720201,0.0024125452352230514,0.03969754253308122,-0.017656500802568087,0.011695906432748426,-0.018840579710144856,-0.038199181446111785,0.03571428571428581,-0.06235827664399096,0.06791171477079794,-0.050480769230769273,-0.044414535666218,-0.043130990415335524,0.11634349030470892,0.1606145251396649,-0.023090586145648295,0.06993006993007
2017-12-01,64.0,61.2,61.8,55.7,72.8,57.8,86.3,68.9,61.5,76.7,73.3,38.3,55.6,-0.07514450867052025,-0.09601181683899551,-0.123404255319149,-0.08538587848932666,-0.11970979443772678,-0.08108108108108114,0.09240506329113929,-0.029577464788732355,0.026711185308848195,-0.048387096774193394,-0.11793020457280379,-0.3036363636363637,-0.09150326797385622,0.0062893081761006275,-0.08520179372197312,-0.18145695364238412,0.1390593047034765,-0.05084745762711873,-0.013651877133105894,0.0225118483412321,0.058371735791090895,-0.02225755166931631,0.10201149425287359,0.16719745222929938,-0.14888888888888896,0.01645338208409508
2018-01-01,61.6,62.7,77.8,57.2,73.5,59.5,81.7,70.8,58.2,67.6,67.4,25.6,48.6,-0.03749999999999998,0.02450980392156854,0.25889967637540456,0.026929982046678624,0.009615384615384581,0.02941176470588247,-0.05330243337195817,0.02757619738751793,-0.05365853658536579,-0.1186440677966103,-0.08049113233287852,-0.33159268929503904,-0.12589928057553956,0.01650165016501659,-0.03686635944700445,-0.031133250311332517,-0.005217391304347729,-0.08125000000000004,0.10185185185185186,-0.0388235294117647,0.033576642335766405,-0.00512820512820511,0.2682926829268293,0.15410958904109595,-0.16612377850162863,0.02748414376321362
2018-02-01,64.4,61.4,71.5,48.3,77.2,51.2,82.8,73.0,53.3,74.2,86.2,50.4,46.2,0.045454545454545414,-0.020733652312599715,-0.08097686375321334,-0.15559440559440574,0.05034013605442178,-0.13949579831932768,0.01346389228886169,0.031073446327683607,-0.0841924398625431,0.09763313609467472,0.2789317507418396,0.9687499999999998,-0.04938271604938271,0.07333333333333347,-0.01602564102564108,-0.0868454661558109,-0.10389610389610393,-0.09176470588235286,0.07563025210084029,0.014705882352941124,0.061046511627907085,-0.014787430683918745,0.08005822416302766,0.31202435312024357,0.5999999999999999,0.09738717339667469
2018-03-01,66.8,63.3,74.4,53.6,72.8,56.8,78.6,71.9,56.7,76.1,88.0,58.2,54.3,0.03726708074534146,0.030944625407166138,0.04055944055944072,0.10973084886128381,-0.05699481865284983,0.10937499999999978,-0.050724637681159424,-0.015068493150684814,0.06378986866791747,0.025606469002695365,0.02088167053364276,0.15476190476190488,0.1753246753246751,0.016742770167427645,-0.09829059829059839,-0.021052631578947323,-0.06457242582897027,-0.16989737742303312,0.023423423423423406,-0.016270337922403177,0.06835066864784567,0.030909090909090997,0.006613756613756516,0.16402116402116418,0.20746887966804972,0.07524752475247509
2018-04-01,67.6,65.0,69.2,52.3,73.1,58.6,78.4,72.4,61.8,74.2,88.6,55.8,55.4,0.011976047904191489,0.026856240126382325,-0.06989247311827962,-0.02425373134328368,0.004120879120879106,0.03169014084507049,-0.00254452926208637,0.006954102920723182,0.08994708994708978,-0.024967148488830415,0.006818181818181834,-0.04123711340206193,0.0202578268876612,0.04806201550387579,0.010886469673405896,0.10897435897435903,-0.04735883424408016,-0.08165829145728642,0.046428571428571486,-0.04854368932038833,0.055393586005831,0.06735751295336789,0.04507042253521121,0.20380434782608692,0.19999999999999996,0.016513761467889854
2018-05-01,65.1,61.5,79.5,59.9,70.5,62.1,77.5,65.6,62.4,72.9,82.0,55.2,54.9,-0.03698224852071008,-0.05384615384615388,0.148843930635838,0.14531548757170176,-0.035567715458276306,0.05972696245733777,-0.011479591836734748,-0.09392265193370186,0.009708737864077666,-0.017520215633423097,-0.07449209932279899,-0.01075268817204289,-0.009025270758122761,-0.010638297872340496,-0.05384615384615388,0.10878661087866104,-0.02442996742671011,-0.01810584958217265,0.13736263736263732,-0.038461538461538436,-0.019431988041853643,-0.025000000000000022,0.006906077348066253,0.09042553191489366,0.012844036697247763,-0.06632653061224492
2018-06-01,61.8,59.1,68.0,55.4,71.7,60.1,68.7,61.8,54.8,70.6,80.5,47.7,53.6,-0.05069124423963134,-0.03902439024390236,-0.14465408805031443,-0.07512520868113526,0.017021276595744705,-0.032206119162640934,-0.11354838709677417,-0.05792682926829262,-0.1217948717948718,-0.03155006858710574,-0.018292682926829285,-0.13586956521739135,-0.023679417122040025,-0.07898658718330842,-0.08087091757387244,-0.10643889618922464,-0.163141993957704,-0.0688311688311688,-0.047543581616481756,-0.20486111111111116,-0.08444444444444443,-0.1671732522796353,-0.07953063885267286,0.09226594301221169,-0.1327272727272727,-0.08532423208191131
