Year,Holiday,Cumulative Gross,Releases,#1_Release,#1_Gross
1998,Thanksgiving,7462137.0,2.0,A Bug's Life,7327335.0
1998,Thanksgiving 5-Day Weekend,46935463.0,2.0,A Bug's Life,45739516.0
1998,Halloween,1664884.0,4.0,Antz,1388487.0
1998,Indigenous People's Day,2648404.0,4.0,Antz,2402168.0
1998,Indigenous People's Day Weekend,19063164.0,4.0,Antz,17116086.0
1998,Labor Day,2922300.0,6.0,Saving Private Ryan,2034621.0
1998,Labor Day Weekend,78756126.0,29.0,There's Something About Mary,10920201.0
1998,Independence Day,2615115.0,5.0,The X Files,1824784.0
1998,Memorial Day,16719017.0,7.0,Godzilla,11679410.0
1998,Memorial Day Weekend,124319217.0,16.0,Godzilla,55726951.0
1998,Easter,2871238.0,4.0,Titanic,1795410.0
1998,Easter Weekend,14725809.0,5.0,Titanic,9571989.0
1998,President's Day,6668614.0,5.0,Titanic,4708477.0
1998,President's Day Weekend,121575110.0,21.0,Titanic,32876424.0
1998,MLK Day,9748658.0,6.0,Titanic,6003510.0
1998,MLK Day Weekend,123643859.0,22.0,Titanic,36014544.0
1998,New Year's Day,25328527.0,8.0,Titanic,11558520.0
1999,New Year's Eve,21644789.0,10.0,Stuart Little,5052000.0
1999,Christmas Day,32822167.0,10.0,The Talented Mr. Ripley,6389000.0
1999,Post-Thanksgiving Weekend,80277174.0,66.0,Toy Story 2,27760276.0
1999,Thanksgiving Weekend,159709240.0,61.0,Toy Story 2,57388839.0
1999,Thanksgiving 4-Day Weekend,107717980.0,8.0,Toy Story 2,70531873.0
1999,Thanksgiving,19875759.0,7.0,Toy Story 2,13143034.0
1999,Thanksgiving 5-Day Weekend,122937210.0,8.0,Toy Story 2,80102784.0
1999,Halloween,15322334.0,20.0,House on Haunted Hill,4401000.0
1999,Indigenous People's Day,6340353.0,14.0,Double Jeopardy,1452111.0
1999,Indigenous People's Day Weekend,63740506.0,14.0,Double Jeopardy,14993396.0
1999,Labor Day,21450810.0,21.0,The Sixth Sense,6374179.0
1999,Labor Day Weekend,98217756.0,22.0,The Sixth Sense,29271146.0
1999,Independence Day,15898076.0,8.0,Wild Wild West,7298242.0
1999,Independence Day Weekend,79915264.0,8.0,Wild Wild West,36434750.0
1999,Memorial Day,26524549.0,7.0,Star Wars: Episode I - The Phantom Menace,15504435.0
1999,Memorial Day Weekend,142527400.0,63.0,Star Wars: Episode I - The Phantom Menace,66904298.0
1999,Easter,8241914.0,4.0,The Matrix,7869148.0
1999,Easter Weekend,33325185.0,4.0,The Matrix,31639466.0
1999,President's Day,1933261.0,7.0,Saving Private Ryan,592404.0
1999,President's Day Weekend,116236274.0,62.0,Message in a Bottle,18852976.0
1999,MLK Day,8839305.0,7.0,Varsity Blues,2311575.0
1999,MLK Day Weekend,125265914.0,60.0,Varsity Blues,17515723.0
1999,New Year's Day,28609586.0,6.0,Patch Adams,8046675.0
2000,New Year's Eve,29483342.0,20.0,Cast Away,8532000.0
2000,Christmas Day,33685786.0,18.0,Cast Away,10968669.0
2000,Christmas Weekend,154863416.0,61.0,Cast Away,39852075.0
2000,Post-Thanksgiving Weekend,88566388.0,60.0,How the Grinch Stole Christmas,27096630.0
2000,Thanksgiving Weekend,176551210.0,63.0,How the Grinch Stole Christmas,52118445.0
2000,Thanksgiving 4-Day Weekend,163017420.0,12.0,How the Grinch Stole Christmas,64153005.0
2000,Thanksgiving,30107852.0,11.0,How the Grinch Stole Christmas,12034560.0
2000,Thanksgiving 5-Day Weekend,185379900.0,12.0,How the Grinch Stole Christmas,73523665.0
2000,Halloween,1850149.0,9.0,Meet the Parents,992625.0
2000,Indigenous People's Day,6647824.0,10.0,Meet the Parents,3541970.0
2000,Indigenous People's Day Weekend,61203642.0,10.0,Meet the Parents,32165270.0
2000,Labor Day,12262001.0,16.0,Bring It On,2723330.0
2000,Labor Day Weekend,104801241.0,64.0,Bring It On,14170825.0
2000,Independence Day,23181941.0,14.0,The Perfect Storm,9020972.0
2000,Independence Day Weekend,158465755.0,14.0,The Perfect Storm,62742422.0
2000,Memorial Day,25898850.0,13.0,Mission: Impossible II,12970918.0
2000,Memorial Day Weekend,184326226.0,63.0,Mission: Impossible II,70816215.0
2000,Easter,17551955.0,14.0,U-571,4481505.0
2000,Easter Weekend,74620570.0,10.0,U-571,21400155.0
2000,President's Day,16416918.0,14.0,Snow Day,3735134.0
2000,President's Day Weekend,133627286.0,64.0,The Whole Nine Yards,15915676.0
2000,MLK Day,15838975.0,14.0,Stuart Little,3104939.0
2000,MLK Day Weekend,127735048.0,62.0,Next Friday,16918226.0
2000,New Year's Day,43269337.0,10.0,Stuart Little,6762000.0
2000,New Year Weekend,183301778.0,62.0,Cast Away,40038715.0
2001,New Year's Eve,31175667.0,20.0,The Lord of the Rings: The Fellowship of the Ring,8008803.0
2001,Christmas Day,45439261.0,21.0,The Lord of the Rings: The Fellowship of the Ring,11570303.0
2001,Christmas Weekend,196469348.0,33.0,The Lord of the Rings: The Fellowship of the Ring,66114741.0
2001,Post-Thanksgiving Weekend,89743437.0,63.0,Harry Potter and the Sorcerer's Stone,23642327.0
2001,Thanksgiving Weekend,152037811.0,61.0,Harry Potter and the Sorcerer's Stone,57487755.0
2001,Thanksgiving 4-Day Weekend,159882810.0,14.0,Harry Potter and the Sorcerer's Stone,69745755.0
2001,Thanksgiving,28090262.0,14.0,Harry Potter and the Sorcerer's Stone,12258000.0
2001,Thanksgiving 5-Day Weekend,185791130.0,14.0,Harry Potter and the Sorcerer's Stone,82387621.0
2001,Halloween,1399716.0,8.0,K-PAX,978285.0
2001,Indigenous People's Day,322269.0,10.0,American Pie 2,72590.0
2001,Indigenous People's Day Weekend,2646893.0,10.0,American Pie 2,776875.0
2001,Labor Day,4408526.0,8.0,American Pie 2,2024100.0
2001,Labor Day Weekend,118505659.0,64.0,Jeepers Creepers,15831700.0
2001,Independence Day,39519080.0,18.0,Cats & Dogs,9023454.0
2001,Memorial Day,38261951.0,14.0,Pearl Harbor,16098742.0
2001,Memorial Day Weekend,181706465.0,23.0,Pearl Harbor,75177654.0
2001,Easter,3672205.0,7.0,Kingdom Come,2210796.0
2001,Easter Weekend,25818537.0,20.0,Kingdom Come,8337378.0
2001,President's Day,10233740.0,9.0,Hannibal,3793558.0
2001,President's Day Weekend,146701962.0,60.0,Hannibal,33501505.0
2001,MLK Day,13384039.0,13.0,Save the Last Dance,4081513.0
2001,MLK Day Weekend,169963707.0,64.0,Save the Last Dance,27526443.0
2001,New Year's Day,34744876.0,20.0,Cast Away,9060846.0
2001,New Year Weekend,246947864.0,38.0,The Lord of the Rings: The Fellowship of the Ring,56952669.0
2002,New Year's Eve,35476119.0,43.0,The Lord of the Rings: The Two Towers,8442823.0
2002,Christmas Day,40796393.0,36.0,The Lord of the Rings: The Two Towers,12381307.0
2002,Post-Thanksgiving Weekend,81830292.0,126.0,Die Another Day,12843007.0
2002,Thanksgiving Weekend,150780433.0,132.0,Harry Potter and the Chamber of Secrets,32117496.0
2002,Thanksgiving 4-Day Weekend,173741378.0,39.0,Die Another Day,39417993.0
2002,Thanksgiving,32313126.0,38.0,Die Another Day,8407810.0
2002,Thanksgiving 5-Day Weekend,200863359.0,39.0,Die Another Day,46068011.0
2002,Halloween,7897068.0,35.0,The Ring,2777426.0
2002,Indigenous People's Day,12336229.0,40.0,Red Dragon,2017795.0
2002,Indigenous People's Day Weekend,99562823.0,45.0,Red Dragon,19673545.0
2002,Labor Day,25536309.0,36.0,My Big Fat Greek Wedding,3708782.0
2002,Labor Day Weekend,115948185.0,138.0,Signs,17043114.0
2002,Independence Day,37271812.0,23.0,Men in Black II,16493214.0
2002,Memorial Day,39338766.0,22.0,Star Wars: Episode II - Attack of the Clones,12123417.0
2002,Memorial Day Weekend,200387030.0,81.0,Star Wars: Episode II - Attack of the Clones,60003949.0
2002,Easter,29607003.0,30.0,Panic Room,7165000.0
2002,Easter Weekend,136487515.0,30.0,Panic Room,33008751.0
2002,President's Day,26323619.0,35.0,Return to Never Land,3733833.0
2002,President's Day Weekend,163437150.0,61.0,John Q,23612171.0
2002,MLK Day,28074567.0,29.0,Snow Dogs,5893915.0
2002,MLK Day Weekend,151166550.0,60.0,Black Hawk Down,33628211.0
2002,New Year's Day,39236929.0,20.0,The Lord of the Rings: The Fellowship of the Ring,10248284.0
2003,New Year's Eve,35588642.0,33.0,The Lord of the Rings: The Return of the King,7509391.0
2003,Christmas Day,51710746.0,41.0,The Lord of the Rings: The Return of the King,13986220.0
2003,Post-Thanksgiving Weekend,97965555.0,127.0,The Last Samurai,24271354.0
2003,Thanksgiving Weekend,162391549.0,134.0,The Cat in the Hat,24459685.0
2003,Thanksgiving 4-Day Weekend,190100407.0,39.0,The Haunted Mansion,29497463.0
2003,Thanksgiving,33766010.0,39.0,Elf,5497000.0
2003,Thanksgiving 5-Day Weekend,217284109.0,39.0,The Haunted Mansion,34046111.0
2003,Halloween,18853253.0,38.0,Scary Movie 3,4416000.0
2003,Indigenous People's Day,14037600.0,72.0,Kill Bill: Vol. 1,3196215.0
2003,Indigenous People's Day Weekend,93306494.0,76.0,School of Rock,17576596.0
2003,Labor Day,31073967.0,50.0,Freaky Friday,3381996.0
2003,Labor Day Weekend,133861747.0,140.0,Jeepers Creepers 2,18365222.0
2003,Independence Day,35761693.0,35.0,Terminator 3: Rise of the Machines,13036305.0
2003,Memorial Day,40558375.0,35.0,Bruce Almighty,17780715.0
2003,Memorial Day Weekend,203036816.0,130.0,Bruce Almighty,85734045.0
2003,Easter,23796921.0,73.0,Anger Management,5361584.0
2003,Easter Weekend,117399887.0,73.0,Anger Management,27646189.0
2003,President's Day,19696857.0,42.0,Daredevil,4723035.0
2003,President's Day Weekend,164865201.0,120.0,Daredevil,45033454.0
2003,MLK Day,26268710.0,39.0,Kangaroo Jack,5315274.0
2003,MLK Day Weekend,151271592.0,129.0,Kangaroo Jack,21895483.0
2003,New Year's Day,47830339.0,47.0,The Lord of the Rings: The Two Towers,11040273.0
2004,New Year's Eve,43379159.0,40.0,Meet the Fockers,12140180.0
2004,Christmas Day,55566160.0,40.0,Meet the Fockers,19542490.0
2004,Post-Thanksgiving Weekend,87168985.0,112.0,National Treasure,17004967.0
2004,Thanksgiving Weekend,162308348.0,117.0,National Treasure,32156917.0
2004,Thanksgiving 4-Day Weekend,192774124.0,35.0,National Treasure,39967033.0
2004,Thanksgiving,34537882.0,34.0,National Treasure,7810116.0
2004,Thanksgiving 5-Day Weekend,221908279.0,35.0,National Treasure,45614808.0
2004,Halloween,24511773.0,45.0,Saw,5392153.0
2004,Indigenous People's Day,13891045.0,43.0,Shark Tale,5273734.0
2004,Indigenous People's Day Weekend,116070023.0,48.0,Shark Tale,36604033.0
2004,Labor Day,24603265.0,42.0,Hero,2707022.0
2004,Labor Day Weekend,116573642.0,136.0,Hero,11514779.0
2004,Independence Day,42357385.0,32.0,Spider-Man 2,21955628.0
2004,Independence Day Weekend,223275545.0,113.0,Spider-Man 2,115817364.0
2004,Memorial Day,54117628.0,34.0,Shrek 2,23408002.0
2004,Memorial Day Weekend,248330709.0,148.0,Shrek 2,95578365.0
2004,Easter,27703581.0,41.0,The Passion of the Christ,3666346.0
2004,Easter Weekend,128372978.0,41.0,The Passion of the Christ,16514653.0
2004,President's Day,19914475.0,43.0,50 First Dates,5255634.0
2004,President's Day Weekend,145599508.0,132.0,50 First Dates,45107871.0
2004,MLK Day,23466527.0,42.0,Along Came Polly,4729640.0
2004,MLK Day Weekend,138629157.0,117.0,Along Came Polly,32450825.0
2004,New Year's Day,53783135.0,36.0,The Lord of the Rings: The Return of the King,12784656.0
2005,New Year's Eve,42301440.0,37.0,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",7745203.0
2005,Christmas Day,48109558.0,39.0,King Kong,8850600.0
2005,Christmas Weekend,176460617.0,89.0,King Kong,33274680.0
